"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Sunfall","W","R","1854","1.37","1474","1.33","8692","63.1%","1536","68.3%","2275","70.7%","3811","69.7%","4912","58.1%","11.6pp"
"Surge of Salvation","W","U","30059","6.71","3134","10.25","4650","59.6%","711","61.2%","1042","58.3%","1753","59.4%","2895","59.7%","-0.3pp"
"Swordsworn Cavalier","W","C","48939","5.86","9341","7.27","45705","61.6%","8305","63.5%","9672","58.1%","17977","60.6%","27598","62.2%","-1.7pp"
"Tarkir Duneshaper","W","C","59624","6.58","7386","9.22","27035","60.6%","4683","63.2%","5579","56.1%","10262","59.3%","16620","61.3%","-2.0pp"
"Tiller of Flesh","W","U","24066","4.89","2228","7.56","5959","57.1%","949","54.8%","1374","54.7%","2323","54.8%","3633","58.5%","-3.7pp"
"Zhalfirin Lancer","W","U","23053","4.63","4011","6.04","19257","60.5%","3391","60.4%","4116","56.6%","7507","58.3%","11756","61.6%","-3.3pp"
"Artistic Refusal","U","U","22358","4.45","9153","5.03","51924","61.8%","8180","62.2%","14236","64.6%","22416","63.7%","29775","60.5%","3.2pp"
"Assimilate Essence","U","C","51511","6.28","12618","8.04","56571","61.3%","9691","62.8%","14396","62.6%","24087","62.7%","32466","60.3%","2.4pp"
"Astral Wingspan","U","U","27041","5.50","5002","7.68","16325","60.7%","2474","59.6%","4045","62.6%","6519","61.5%","9811","60.1%","1.3pp"
"Captive Weird","U","U","18486","3.67","9253","4.08","55833","61.8%","9918","65.2%","14226","61.7%","24144","63.2%","31295","60.7%","2.4pp"
"Change the Equation","U","U","32011","7.70","3561","11.62","920","57.4%","156","","243","60.5%","399","58.9%","521","56.2%","2.7pp"
"Chrome Host Seedshark","U","R","1985","1.41","1742","1.40","11290","62.9%","2021","70.6%","3135","66.9%","5156","68.3%","6232","58.4%","10.0pp"
"Complete the Circuit","U","R","8550","5.86","1161","9.09","298","","40","","77","","117","","182","",""
"Corruption of Towashi","U","U","21747","4.42","5631","5.60","25738","58.5%","4107","57.3%","6865","60.2%","10972","59.1%","14751","58.0%","1.1pp"
"Disturbing Conversion","U","C","57156","8.10","8593","11.30","10966","59.3%","1782","57.5%","2825","60.8%","4607","59.5%","6343","59.1%","0.4pp"
"Ephara's Dispersal","U","C","39575","4.50","16295","5.15","97649","62.1%","16672","61.2%","25910","64.9%","42582","63.5%","55402","61.0%","2.4pp"
"Expedition Lookout","U","C","56481","7.80","9741","10.64","21475","59.3%","3639","58.2%","5548","60.4%","9187","59.5%","12290","59.1%","0.4pp"
"Eyes of Gitaxias","U","C","47334","5.48","15378","6.65","82489","61.3%","14393","61.2%","22153","62.7%","36546","62.1%","46263","60.7%","1.4pp"
"Faerie Mastermind","U","R","2546","1.85","1862","1.86","11494","62.7%","2108","67.9%","2958","65.3%","5066","66.4%","6426","59.7%","6.7pp"
"Furtive Analyst","U","C","58447","8.59","6906","12.35","4030","56.1%","661","54.9%","1030","57.6%","1691","56.5%","2335","55.6%","0.9pp"
"Halo-Charged Skaab","U","C","56530","7.81","10813","10.45","24422","59.4%","3791","56.1%","6656","61.2%","10447","59.3%","14045","59.4%","-0.1pp"
"Invasion of Arcavios","U","R","7795","5.41","879","9.08","244","","36","","67","","103","","140","",""
